DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,SYMBOL
2025-06-26,363.32,362.88,349.89,347.44,81647461,TSLA
2025-06-27,361.51,360.83,347.42,344.85,25834027,TSLA
2025-06-30,359.7,358.78,344.95,342.26,50020593,TSLA
2025-07-01,357.89,356.73,342.48,339.67,34207159,TSLA
2025-07-02,356.08,354.68,340.01,337.08,58393725,TSLA
2025-07-03,354.27,352.63,337.54,334.49,42580291,TSLA
2025-07-04,352.46,350.58,335.07,331.9,66766857,TSLA
2025-07-07,350.65,348.53,332.6,329.31,50953423,TSLA
2025-07-08,348.84,346.48,330.13,326.72,75139989,TSLA
2025-07-09,347.03,344.43,327.66,324.13,59326555,TSLA
2025-07-10,345.22,342.38,325.19,321.54,83513121,TSLA
2025-07-11,343.41,340.33,322.72,318.95,27699687,TSLA
2025-07-14,341.6,338.28,320.25,316.36,51886253,TSLA
2025-07-15,339.79,336.23,317.78,313.77,36072819,TSLA
2025-07-16,337.98,334.18,315.31,311.18,60259385,TSLA
2025-07-17,336.17,332.13,312.84,308.59,44445951,TSLA
2025-07-18,334.36,330.08,310.37,306,68632517,TSLA
2025-07-21,332.55,328.03,307.9,303.41,52819083,TSLA
2025-07-22,330.74,325.98,305.43,300.82,77005649,TSLA
2025-07-23,328.93,323.93,302.96,298.23,61192215,TSLA
2025-07-24,327.12,321.88,300.49,295.64,85378781,TSLA
2025-07-25,325.31,319.83,298.02,293.05,29565347,TSLA
2025-07-28,323.5,317.78,295.55,290.46,53751913,TSLA
2025-07-29,321.69,315.73,293.08,287.87,37938479,TSLA
2025-07-30,319.88,313.68,290.61,285.28,62125045,TSLA
2025-07-31,318.07,311.63,288.14,282.69,46311611,TSLA
2025-08-01,316.26,309.58,285.67,280.1,70498177,TSLA
2025-08-04,314.45,307.53,283.2,277.51,54684743,TSLA
2025-08-05,312.64,305.48,280.73,274.92,78871309,TSLA
2025-08-06,310.83,303.43,278.26,272.33,63057875,TSLA
2025-08-07,309.02,301.38,275.79,269.74,87244441,TSLA
2025-08-08,307.21,299.33,273.32,267.15,31431007,TSLA
2025-08-11,305.4,297.28,270.85,268.56,55617573,TSLA
2025-08-12,303.59,295.23,268.38,269.97,39804139,TSLA
2025-08-13,301.78,293.18,265.91,271.38,63990705,TSLA
2025-08-14,299.97,291.13,263.44,272.79,48177271,TSLA
2025-08-15,298.16,289.08,260.97,274.2,72363837,TSLA
2025-08-18,296.35,287.03,258.5,275.61,56550403,TSLA
2025-08-19,294.54,284.98,256.03,277.02,80736969,TSLA
2025-08-20,292.73,282.93,253.56,278.43,24923535,TSLA
2025-08-21,290.92,280.88,251.09,279.84,49110101,TSLA
2025-08-22,289.11,278.83,248.62,281.25,33296667,TSLA
2025-08-25,287.3,276.78,246.15,282.66,57483233,TSLA
2025-08-26,285.49,274.73,243.68,284.07,41669799,TSLA
2025-08-27,283.68,272.68,241.21,285.48,65856365,TSLA
2025-08-28,281.87,270.63,238.74,286.89,50042931,TSLA
2025-08-29,280.06,268.58,236.27,288.3,74229497,TSLA
2025-09-01,278.25,266.53,233.8,289.71,58416063,TSLA
2025-09-02,276.44,264.48,231.33,291.12,82602629,TSLA
2025-09-03,274.63,262.43,228.86,292.53,26789195,TSLA
2025-09-04,272.82,260.38,226.39,293.94,50975761,TSLA
2025-09-05,271.01,258.33,223.92,295.35,35162327,TSLA
2025-09-08,271.07,274.3,267.44,270.48,78791267,TSLA
2025-09-09,271.05,271.86,270.2,270.59,43347522,TSLA
2025-09-10,268.63,271.68,266.21,268.05,54015316,TSLA
2025-09-11,265.85,266.44,263.04,265.81,57723641,TSLA
2025-09-12,271.42,274.3,268.47,270.86,72423500,TSLA
